doc_id=doc_0298 | field=total_amount | candidate_text=50.0 | label=1
doc_id=doc_0347 | field=total_amount | candidate_text=68750.0 | label=1
doc_id=doc_0360 | field=total_amount | candidate_text=295.53 | label=1
doc_id=doc_0294 | field=total_amount | candidate_text=281.06 | label=1
doc_id=doc_0294 | field=total_amount | candidate_text=63.0 | label=0
doc_id=doc_0240 | field=total_amount | candidate_text=21.85 | label=0
doc_id=doc_0240 | field=total_amount | candidate_text=28.45 | label=0
doc_id=doc_0240 | field=total_amount | candidate_text=32.79 | label=0
doc_id=doc_0240 | field=total_amount | candidate_text=42.46 | label=0
doc_id=doc_0240 | field=total_amount | candidate_text=43.7 | label=0
doc_id=doc_0240 | field=total_amount | candidate_text=56.9 | label=0
doc_id=doc_0240 | field=total_amount | candidate_text=203.04 | label=1
doc_id=doc_0358 | field=total_amount | candidate_text=10580.0 | label=1
doc_id=doc_0319 | field=total_amount | candidate_text=3600.0 | label=1
doc_id=doc_0220 | field=total_amount | candidate_text=10250.0 | label=0
doc_id=doc_0220 | field=total_amount | candidate_text=102.5 | label=0
doc_id=doc_0220 | field=total_amount | candidate_text=205.0 | label=0
doc_id=doc_0220 | field=total_amount | candidate_text=102.9 | label=1
doc_id=doc_0292 | field=total_amount | candidate_text=29600.0 | label=1
doc_id=doc_0355 | field=total_amount | candidate_text=900.0 | label=1
doc_id=doc_0316 | field=total_amount | candidate_text=980.0 | label=0
doc_id=doc_0316 | field=total_amount | candidate_text=9809.0 | label=1
doc_id=doc_0329 | field=total_amount | candidate_text=2050.0 | label=1
doc_id=doc_0291 | field=total_amount | candidate_text=2333.96 | label=0
doc_id=doc_0291 | field=total_amount | candidate_text=583.82 | label=0
doc_id=doc_0291 | field=total_amount | candidate_text=170.69 | label=0
doc_id=doc_0291 | field=total_amount | candidate_text=105.62 | label=0
doc_id=doc_0291 | field=total_amount | candidate_text=686.1 | label=0
doc_id=doc_0291 | field=total_amount | candidate_text=103.12 | label=0
doc_id=doc_0291 | field=total_amount | candidate_text=462.5 | label=0
doc_id=doc_0291 | field=total_amount | candidate_text=3391.29 | label=0
doc_id=doc_0291 | field=total_amount | candidate_text=8020.29 | label=0
doc_id=doc_0291 | field=total_amount | candidate_text=2602.05 | label=0
doc_id=doc_0291 | field=total_amount | candidate_text=12.34 | label=0
