doc_id,file_name,_split,invoice_number,invoice_date,due_date,issuer_name,recipient_name,total_amount,payment_terms,document_confidence,invoice_like_score,ocr_quality_score
doc_0239,rvl_train_11150.png,train,,,,,,,,low,0,0.5
doc_0323,rvl_train_21065.png,train,,,,HAZLETON casonatonies AMERICA. INC,@ HAZLETON casonatonies AMERICA. INC,1350.0,Net 30 days,high,2,1.0
doc_0255,rvl_train_23912.png,train,,,,HENNOISIG HSV),,,,low,0,1.0
doc_0297,rvl_train_08022.png,train,,,,THE TOBACCO INSTITUTE,‘THE TOBACCO INSTITUTE,100000.0,,low,-1,1.0
doc_0244,rvl_train_09106.png,train,,,,REQUISITIONER'S,8| artwork Reproductions Inc. S| see attached,4600.0,Cash 10 Days,low,0,1.0
doc_0263,rvl_train_20600.png,train,,,,RINT oi,,,,low,0,1.0
doc_0205,rvl_train_09013.png,train,,,,Cc CG CONTRACT RESEARCH CENTER | avaase.at.,Cc CG CONTRACT RESEARCH CENTER | avaase.at.,50.92,,low,0,1.0
doc_0238,rvl_train_05232.png,train,,,,POR SENATE,,200.0,,low,0,0.75
doc_0267,rvl_train_06301.png,train,,1984-10-23,,"LABORATORIES AMERICA, INC.",To: Lorillard Research Center,2050.0,,high,2,1.0
doc_0357,rvl_train_17339.png,train,67550435,1998-06-24,,A PROFESSIONAL CORPORATION,"CLIENT: PHILIP MORRIS COMPANIES, INC.",123250.0,,high,4,1.0
doc_0241,rvl_train_13849.png,train,90220,,,"Metropolitan Sunday Newspapers, Inc.","Metropolitan Sunday Newspapers, Inc.",,,low,0,1.0
doc_0389,rvl_train_12253.png,train,,,,pue oata,,,,low,0,1.0
doc_0341,rvl_train_04533.png,train,,,,SLOUGH PROPERTIES NV.,more <i. sid £2 CONTRACT RESEARCH CENTER BVBA,157.5,,low,0,1.0
doc_0371,rvl_train_09618.png,train,,,,LICH KOENIG ADVER',,2320.72,,low,0,1.0
doc_0258,rvl_val_04091.png,train,1558-1,1984-03-21,,"LABORATORIES, INC.","Boriston Laboratories, Inc",7650.0,,high,2,1.0
doc_0364,rvl_test_22339.png,train,,1997-10-08,,,,500.0,,low,0,1.0
doc_0321,rvl_train_12965.png,train,,,,,,,,low,0,1.0
doc_0343,rvl_train_02979.png,train,,,,Philip Morris Inc. j 25-218:,Philip Morris Inc. j 25-218:,76514.0,,low,0,1.0
doc_0334,rvl_train_19156.png,train,,1990-09-30,,Sonar set Tems ans Condon acepl,,8000.0,,low,0,1.0
doc_0351,rvl_train_13834.png,train,,,,Nate 193-Vo,,,,low,0,1.0
doc_0227,rvl_train_00870.png,train,,,,Rent O ee SSUPIILASCHUG INC WRN TIMARN IUEPIIOEE I> PAANO.,Rent O ee SSUPIILASCHUG INC WRN TIMARN IUEPIIOEE I> PAANO.,5280.0,,low,0,1.0
doc_0228,rvl_train_22982.png,train,,,,CENTRAC,Telemarketing Services voice Numaer; 116936,599.9,NeT 10,medium,1,1.0
doc_0312,rvl_train_13146.png,train,,,,Bt Mason RESEARCH INSTITUTE,Bt Mason RESEARCH INSTITUTE,16525.23,,low,0,1.0
doc_0202,rvl_train_00820.png,train,,,,"EM &Company, Inc.","EM &Company, Inc.",99418.15,,medium,1,1.0
doc_0266,rvl_train_18919.png,train,,,,LORILLARD RESEARCH CENTER,LORILLARD RESEARCH CENTER,2624.26,DUE UPON RECEIPT,high,2,1.0
doc_0232,rvl_test_14720.png,train,,,,casa come PHILIP,,23.19,,low,-1,1.0
doc_0268,rvl_train_02280.png,train,,,,NUMBER ON ALL PAYMENTS AND.,,4850.0,NET 30,high,2,1.0
doc_0366,rvl_val_17596.png,train,,1982-03-16,,MANAGEMENT CORP.,Services Rendered: L9%e,,,low,0,1.0
doc_0286,rvl_train_21961.png,train,,,,a LO BURNETT USA:,,200.89,,low,0,1.0
doc_0277,rvl_train_14858.png,train,,1997-08-15,,PLEASE READ INSTRUCTIONS,COST CENTER,95951.25,,high,2,1.0
doc_0318,rvl_train_06968.png,train,,,,eek von Peta Buz,,,,low,0,0.85
doc_0283,rvl_train_12131.png,train,,,,"JELIVERED, INSIDE TO RECEI",,,,low,0,1.0
doc_0381,rvl_val_05855.png,train,,1986-02-04,,"LABORATORIES AMERICA, INC","T vorittard, Inc.",2250.0,Net 30 days,medium,1,1.0
doc_0385,rvl_train_20490.png,train,,,,MZOSHSSTO OLO WBEOGLITZC wt ISEOOM,,,,low,0,1.0
doc_0273,rvl_train_07629.png,train,,,,acaron SUMMARY,,,,low,0,1.0
doc_0310,rvl_train_01052.png,train,,,,"DANIEL J. EDELMAN, INC.",PROFESSIONAL SERVICES |,46400000.0,,low,0,1.0
doc_0386,rvl_val_20938.png,train,,,,,,,,low,0,0.6
doc_0252,rvl_train_19783.png,train,,,,Ay JPEG C,,,,low,-1,1.0
doc_0388,rvl_train_19955.png,train,,,,"Zunbs, Harvey J-",Philip Morris Inc.,60.0,,low,0,1.0
doc_0261,rvl_test_18090.png,train,,,,BRITISH-AMERICAN TOBACCO COMPANY LTD,"Brown & Williamson Tobacco Corporation,",52540.05,,high,2,1.0
doc_0279,rvl_train_20831.png,train,,,,INBIFO Institut fur biologische Forschun,,12.35,,low,0,1.0
doc_0206,rvl_train_08025.png,train,,,,228 : ONINSIZU3H . .,,,,low,0,1.0
doc_0361,rvl_val_00377.png,train,,,,Research and Developnent,Research and Developnent,100.0,,low,0,1.0
doc_0233,rvl_train_13747.png,train,,,,QcoMPANIES FOR ACCOUNTING USE ONLY,,,,low,-1,1.0
doc_0259,rvl_train_12404.png,train,,,,"1 = aNnOWY Lan 0g"" = INMUMY ssuND",,,,low,0,1.0
doc_0307,rvl_train_07197.png,train,906516,1989-05-28,,"LABORATORIES AMERICA, INC’",LORILLARD RESEARCH CENTER,6800.0,DUE UPON RECEIPT,high,4,1.0
doc_0400,rvl_train_03666.png,train,,1992-03-26,1992-03-26,Account Number,,1557.52,,high,2,1.0
doc_0327,rvl_train_04576.png,train,,,,TO COVER COSTE ABBOCIATED WI,,2286.08,,low,0,1.0
doc_0276,rvl_train_03310.png,train,,,,Pp. LORILLARD COMPANY,Pp. LORILLARD COMPANY,250.0,,low,0,1.0
doc_0289,rvl_train_21235.png,train,,,,PHILIP MORRIS,,13799.0,,low,0,1.0
doc_0311,rvl_train_10337.png,train,,,,EXPRESS. MarricHy Were,FLetsMeAN MILLARD Joenver nasezorr. se 2,35.75,,low,0,1.0
doc_0325,rvl_train_08680.png,train,,,,eerour®,,,,low,0,0.75
doc_0290,rvl_train_02340.png,train,,,,OPEEGOOOOO TON INNGIOY BGA,,,,low,0,1.0
doc_0237,rvl_train_24865.png,train,,1971-11-19,,"yo__The Tobacco Institute, Inc.","yo__The Tobacco Institute, Inc.",,,low,0,1.0
doc_0248,rvl_train_12450.png,train,,,,HENNOODSIG HSY)],,,,low,0,1.0
doc_0399,rvl_train_19627.png,train,,,,,IeLLENT BW GROWN & WELLTAMSOH FosACCO CORP,2529.0,,low,0,1.0
doc_0262,rvl_train_09607.png,train,,,,"LEO BURNETT U.S.A,",CLIENT: P.M. INC. OFFICE: 10 DESC: 703A MILITARY NEWSPAPERS,4346.4,,low,0,1.0
doc_0383,rvl_train_16636.png,train,,,,Piva Hundred and no/100 US Dollars,,500.0,,low,0,1.0
doc_0204,rvl_val_24300.png,train,,,,CONTRACT RESEARCH CENTER ‘sveas 2,CONTRACT RESEARCH CENTER ‘sveas 2,,,low,0,1.0
doc_0304,rvl_train_18251.png,train,,1968-05-05,,,ADVERTISING CORPORATION P.0.8OX L860,695.0,,medium,1,1.0
doc_0251,rvl_val_11764.png,train,,,,"CRC CONTRACT RESEARCH CENTER avaassp.at,","CRC CONTRACT RESEARCH CENTER avaassp.at,",,,low,0,1.0
