doc_id,file_name,_split,invoice_number,invoice_date,due_date,issuer_name,recipient_name,total_amount,payment_terms,document_confidence,invoice_like_score,ocr_quality_score
doc_0239,rvl_train_11150.png,train,,,,,,,,low,0,0.5
doc_0323,rvl_train_21065.png,train,,,,HAZLETON casonatonies AMERICA. INC,,1350.00,Net 30 days,high,2,1.0
doc_0255,rvl_train_23912.png,train,,,,HENNOISIG HSV),,,,low,0,1.0
doc_0297,rvl_train_08022.png,train,,,,THE TOBACCO INSTITUTE,,,,low,-1,1.0
doc_0244,rvl_train_09106.png,train,,,,REQUISITIONER'S,,,Cash 10 Days,low,0,1.0
doc_0263,rvl_train_20600.png,train,,,,RINT oi,,,,low,0,1.0
doc_0205,rvl_train_09013.png,train,,,,Cc CG CONTRACT RESEARCH CENTER | avaase.at.,,,,low,0,1.0
doc_0238,rvl_train_05232.png,train,,,,POR SENATE,,,,low,0,0.75
doc_0267,rvl_train_06301.png,train,,1984-10-23,,"LABORATORIES AMERICA, INC.",,,,high,2,1.0
doc_0357,rvl_train_17339.png,train,,1998-06-24,,A PROFESSIONAL CORPORATION,,123250.00,,high,4,1.0
doc_0241,rvl_train_13849.png,train,90220,,,"Metropolitan Sunday Newspapers, Inc.",,,,low,0,1.0
doc_0389,rvl_train_12253.png,train,,,,pue oata,,,,low,0,1.0
doc_0341,rvl_train_04533.png,train,,,,SLOUGH PROPERTIES NV.,,,,low,0,1.0
doc_0371,rvl_train_09618.png,train,,,,LICH KOENIG ADVER',,,,low,0,1.0
doc_0258,rvl_val_04091.png,train,1558-1,1984-03-21,,"LABORATORIES, INC.",,,,high,2,1.0
doc_0364,rvl_test_22339.png,train,,1997-10-08,,,,,,low,0,1.0
doc_0321,rvl_train_12965.png,train,,,,,,,,low,0,1.0
doc_0343,rvl_train_02979.png,train,,,,Philip Morris Inc. j 25-218:,,,,low,0,1.0
doc_0334,rvl_train_19156.png,train,,1990-09-30,,Sonar set Tems ans Condon acepl,,,,low,0,1.0
doc_0351,rvl_train_13834.png,train,,,,Nate 193-Vo,,,,low,0,1.0
doc_0227,rvl_train_00870.png,train,,,,Rent O ee SSUPIILASCHUG INC WRN TIMARN IUEPIIOEE I> PAANO.,,,,low,0,1.0
doc_0228,rvl_train_22982.png,train,,,,CENTRAC,,,NeT 10,medium,1,1.0
doc_0312,rvl_train_13146.png,train,,,,Bt Mason RESEARCH INSTITUTE,,19988.92,,low,0,1.0
doc_0202,rvl_train_00820.png,train,,,,"EM &Company, Inc.",,,,medium,1,1.0
doc_0266,rvl_train_18919.png,train,,,,LORILLARD RESEARCH CENTER,,,DUE UPON RECEIPT,high,2,1.0
doc_0232,rvl_test_14720.png,train,,,,casa come PHILIP,,,,low,-1,1.0
