doc_id,file_name,_split,field,candidate_text,candidate_source,line_idx,line_rel_pos,line_token_count,candidate_len,candidate_token_count,candidate_digit_count,candidate_alpha_count,candidate_digit_ratio,candidate_uppercase_ratio,candidate_has_org_suffix,candidate_has_address_word,candidate_has_label_word,candidate_shape,line_has_colon,line_is_upper,line_digit_ratio,line_has_dollar,line_has_org_suffix,line_has_address_word,line_has_label_word,is_top_10_lines,is_top_20_lines,is_bottom_half,is_bottom_quarter,ctx_has_invoice,ctx_has_invoice_no,ctx_has_bill_to,ctx_has_sold_to,ctx_has_ship_to,ctx_has_attention,ctx_has_total,ctx_has_amount_due,ctx_has_reference,ctx_has_due,invoice_like_score,ocr_quality_score,doc_num_lines,doc_num_chars,inv_has_digit,inv_has_dash,inv_has_slash,inv_all_capsish,inv_valid_by_rules,inv_short_code,label,notes
doc_0357,rvl_train_17339.png,train,invoice_number,67550435,invoiceish_line_token,9,0.4091,6,8,1,8,0,1.0,0.0,0,0,0,00000000,1,0,0.2973,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,1.0,23,644,1,0,0,1,1,0,,
doc_0241,rvl_train_13849.png,train,invoice_number,90220,labeled,5,0.2632,3,5,1,5,0,1.0,0.0,0,0,0,00000,0,0,0.5263,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,20,709,1,0,0,1,1,0,,
doc_0258,rvl_val_04091.png,train,invoice_number,1558-1,labeled,15,0.5769,3,6,1,5,0,0.8333,0.0,0,0,0,0000-0,1,1,0.2632,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1.0,27,606,1,1,0,1,1,0,,
doc_0307,rvl_train_07197.png,train,invoice_number,906516,invoiceish_line_token,3,0.1071,10,6,1,6,0,1.0,0.0,0,0,0,000000,1,1,0.1429,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,1.0,29,812,1,0,0,1,1,0,,
doc_0362,rvl_test_23617.png,train,invoice_number,o3e06,labeled,3,0.1364,6,5,1,3,2,0.6,0.0,0,0,0,a0a00,0,0,0.2381,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,23,504,1,0,0,0,1,0,,
doc_0362,rvl_test_23617.png,train,invoice_number,1550850,invoiceish_line_token,3,0.1364,6,7,1,7,0,1.0,0.0,0,0,0,0000000,0,0,0.2381,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,23,504,1,0,0,1,1,0,,
doc_0373,rvl_train_05183.png,train,invoice_number,09-30-86,invoiceish_line_token,1,0.0769,8,8,1,6,0,0.75,0.0,0,0,0,00-00-00,1,0,0.1111,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,3,1.0,14,356,1,1,0,1,1,0,,
doc_0217,rvl_val_01042.png,train,invoice_number,301-899,invoiceish_line_token,5,0.1852,5,7,1,6,0,0.8571,0.0,0,0,0,000-000,1,0,0.2857,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1.0,28,654,1,1,0,1,1,0,,
doc_0217,rvl_val_01042.png,train,invoice_number,194C,invoiceish_line_token,13,0.4815,10,4,1,3,1,0.75,1.0,0,0,0,000A,1,0,0.16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,28,654,1,0,0,1,1,0,,
doc_0217,rvl_val_01042.png,train,invoice_number,30087,invoiceish_line_token,13,0.4815,10,5,1,5,0,1.0,0.0,0,0,0,00000,1,0,0.16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,28,654,1,0,0,1,1,0,,
doc_0217,rvl_val_01042.png,train,invoice_number,1567-1,labeled,15,0.5556,6,6,1,5,0,0.8333,0.0,0,0,0,0000-0,1,0,0.2812,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1.0,28,654,1,1,0,1,1,0,,
doc_0337,rvl_train_14039.png,train,invoice_number,371960-01,invoiceish_line_token,18,0.6207,4,9,1,8,0,0.8889,0.0,0,0,0,000000-00,0,0,0.3214,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1.0,30,946,1,1,0,1,1,0,,
doc_0256,rvl_train_15055.png,train,invoice_number,807653,labeled,10,0.4545,2,6,1,6,0,1.0,0.0,0,0,0,000000,0,0,0.4,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1.0,23,669,1,0,0,1,1,0,,
